51300001843,bga,296,90
51300044519,eee,13,262
51300072681,dbf,112,232
51300073343,dae,285,71
51300088223,cad,33,193
51300093626,aad,280,196
51300100886,gad,167,48
51300151606,fgf,213,194
51300161989,acd,17,176
51300226737,ccc,95,110
51300339138,ced,103,8
51300360460,adg,289,158
51300367443,dbe,81,60
51300402510,cbd,130,194
51300425627,dfd,298,51
51300462959,cca,125,171
51300488126,ebg,138,9
51300500581,baa,252,144
51300522164,gdg,112,268
51300557530,ccf,143,138
51300581788,ebd,152,286
51300584322,fdb,119,193
51300620903,ecf,125,182
51300635326,gfb,74,265
51300649694,bfd,278,142
51300693011,bff,184,148
51300715433,gfb,279,307
51300715759,ebg,144,9
51300745149,ffg,100,63
51300751268,bed,191,280
51300778576,edg,26,224
51300778918,dca,161,221
51300854672,dbd,252,162
51300869072,feb,97,81
51300925719,dcf,242,61
51300947135,bbd,295,162
51301010724,eea,194,246
51301025590,bfd,220,163
51301029582,eae,238,257
51301063159,aca,76,45
51301065974,dcc,8,216
51301100950,gdc,38,193
51301107564,faa,51,21
51301126377,egc,50,141
51301186678,edg,20,217
51301263956,bee,241,231
51301288492,cca,84,186
51301318183,ebe,270,175
51301343140,aba,215,89
51301368814,aef,1,97
51301392844,cgg,122,53
51301395339,aaa,214,115
51301421628,egc,246,133
51301536239,afe,83,13
51301536282,fcg,234,234
51301562483,eec,254,105
51301571430,gbe,213,209
51301618888,afg,95,151
51301621464,eeg,256,291
51301645575,aff,148,173
51301647172,ace,27,6
51301671392,dff,257,141
51301711635,dbd,197,136
51301734186,fdc,186,251
51301740728,bda,81,127
51301781547,bge,20,292
51301783646,cde,277,273
51301792478,gff,232,281
51301821833,gda,174,106
51301839937,ddg,299,37
51301850751,fcf,150,47
51301888126,gbf,41,221
51301898809,dcc,117,185
51301906295,egb,120,120
51301916908,ceg,135,81
51301924097,aac,182,209
51301935663,aed,35,155
51301938140,fgc,52,199
51301944391,fbb,127,45
51301976998,geg,164,261
51301983197,abc,253,174
51301985286,fef,117,147
51302023628,fae,101,80
51302026678,age,249,50
51302038948,ggf,229,225
51302045950,gfg,1,178
51302058867,cgb,181,128
51302059122,dcd,268,216
51302070486,fae,247,72
51302087489,eec,245,103
51302125056,abg,146,36
51302130340,gdg,61,286
51302142536,ccc,292,92
51302168180,eaa,236,158
51302169295,fcd,26,155
51302171682,dbc,291,216
51302182196,gaa,96,259
51302202022,gfc,102,68
51302217557,afg,78,120
51302223788,feg,273,227
51302259416,efa,114,168
51302265517,adb,230,45
51302269316,bac,222,291
51302318182,ege,79,263
51302336358,eaa,86,173
51302340469,dad,76,157
51302343786,dfg,105,56
51302347888,ccg,193,252
51302355664,bgb,228,218
51302365342,dgf,240,98
51302386785,ecd,48,95
51302422509,dbb,292,74
51302426127,aad,217,211
51302449221,bcf,79,285
51302465946,egb,270,96
51302470105,cdg,278,278
51302475966,cbg,121,58
51302502696,fee,122,76
51302546021,fed,18,202
51302546031,bdb,293,44
51302565948,ffg,144,54
51302567471,ebe,287,169
51302586008,cbb,84,222
51302612901,gcb,59,125
51302618819,aag,120,156
51302651889,dgd,206,132
51302682885,fad,70,237
51302688910,egf,239,208
51302716063,daf,108,48
51302735472,eca,274,189
51302772272,fac,94,132
51302797103,eaa,57,202
51302805858,bda,79,110
51302815909,dgg,66,201
51302831577,bff,206,173
51302831611,bfg,252,26
51302877905,dbg,259,6
51302886034,dae,297,62
51302917093,bag,61,91
51302926339,agb,205,166
51302927011,cag,175,221
51302966591,cae,13,283
51303007965,cbe,84,35
51303024660,fce,56,163
51303053923,ebb,156,138
51303142101,fcf,81,54
51303151001,dgg,296,172
51303155118,bbe,246,86
51303172538,eac,163,118
51303174582,gba,230,204
51303210734,ced,197,6
51303210962,dac,221,215
51303212290,daa,8,126
51303263377,aga,162,91
51303269810,cgc,244,175
51303272787,egf,10,226
51303302274,bdf,59,47
51303315990,dgc,245,253
51303351166,gdf,145,42
51303376256,gag,200,120
51303384970,fab,173,192
51303395369,ggb,53,196
51303418160,dcg,299,35
51303419162,bec,211,138
51303427105,dgf,243,94
51303433564,bfb,16,284
51303479253,ccd,271,107
51303488383,eef,142,211
51303505278,eeb,272,231
51303512255,bda,262,88
51303528003,eca,261,204
51303531459,bbe,146,101
51303545843,cfb,9,234
51303607797,dgb,164,225
51303633835,bcf,63,299
51303640560,bdd,262,276
51303646104,ece,223,202
51303654595,gbg,12,140
51303656117,ffg,96,61
51303660451,aee,151,106
51303669660,bdd,5,287
51303684366,efe,229,92
51303694164,dbd,229,140
51303709550,aaf,39,264
51303716830,bbg,107,128
51303723358,efg,195,222
51303745890,abd,213,162
51303761601,dfg,58,49
51303790702,dcg,69,29
51303854067,ece,47,183
51303875220,gbb,74,268
51303917933,eaf,169,84
51303922339,ffd,62,108
51303932104,fdb,60,183
51303942089,dbe,215,66
51303944644,ede,46,85
51303945984,ggb,146,168
51303957003,ddf,229,248
51303963420,feb,224,81
51303990649,eda,169,177
51304010993,ebf,263,138
51304024857,geg,228,247
51304067190,efd,290,270
51304068710,fbd,52,259
51304094576,fgc,232,216
51304098107,ddb,12,291
51304135038,bdc,211,91
51304167525,dcb,237,143
51304179185,agb,58,136
